quote,tone,mode,target,scene_summary,source,collapsed_tone,collapsed_mode
"Coulda been in the movies, an’ had nice clothes—all them nice clothes like they wear. An’ I coulda sat in them big hotels, an’ had pitchers took of me. When they had them previews I coulda went to them, an’ spoke in the radio, an’ it wouldn’ta cost me a cent because I was in the pitcher. An’ all them nice clothes like they wear. Because this guy says I was a natural.",dreamy,fantasy,Lennie,"She paints a vivid fantasy of the life she feels she was meant for — a life of fame, beauty, and attention.",original,other,other
Somebody made a ringer.,distracted,casual comment,herself / Lennie,She breaks the emotional intensity with a brief comment about the horseshoe game outside.,original,other,other
Don’t you think of nothing but rabbits?,annoyed,frustration,Lennie,She gets irritated when Lennie ignores her emotional revelations and continues rambling about rabbits.,original,other,other
What makes you so nuts about rabbits?,curious,question,Lennie,She genuinely tries to understand Lennie’s obsession with rabbits.,original,curious,question
I think you’re nuts.,judgmental,dismissal,Lennie,"After hearing his rabbit-petting obsession, she judges him, pulling back emotionally.",original,other,dismissal
"Well, who don’t? Ever’body likes that. I like to feel silk an’ velvet. Do you like to feel velvet?",understanding,shared connection,Lennie,She bonds with Lennie for a brief moment over their shared love of soft textures.,original,other,other
You’re nuts.,playful,teasing dismissal,Lennie,"She laughs at Lennie’s story about velvet and calls him nuts, but without malice.",original,playful,other
But you’re a kinda nice fella. Jus’ like a big baby. But a person can see kinda what you mean.,gentle,compliment,Lennie,"She offers a rare compliment, trying to relate to Lennie in a calm and reflective moment.",original,gentle,other
Some people got kinda coarse hair. Take Curley. His hair is jus’ like wire. But mine is soft and fine. ‘Course I brush it a lot. That makes it fine. Here—feel right here.,flirtatious,invitation,Lennie,"She invites Lennie to touch her hair, showing off its softness and trying to build trust.",original,other,other
Don’t you muss it up.,lightly annoyed,command,Lennie,She lightly warns him not to mess up her hair while he strokes it.,original,other,other
"Look out, now, you’ll muss it.",concerned,warning,Lennie,She gets a little more forceful as Lennie begins to stroke too roughly.,original,other,warning
"You stop it now, you’ll mess it all up.",frustrated,escalating demand,Lennie,Her tone becomes firm as she tries to make him let go — this line sparks Lennie’s panic.,original,frustrated,other
Let go. You let go!,fearful and panicked,desperate plea,Lennie,Her final words — shouted in fear as Lennie grabs her hair and won’t let go.,original,other,other
Ain’t nobody gonna come in here. You can talk if you want.,calming,reassurance,Lennie,"She encourages Lennie to speak freely, claiming no one will interrupt them in the barn.",augmented,other,reassurance
It’s just us in here. They’re all too busy gamblin’ to notice.,casual,invitation,Lennie,"She invites Lennie to talk, assuring him they’re alone and safe from prying eyes.",augmented,casual,other
Don’t fret none. They’re yellin’ too loud to hear us anyhow.,reassuring,justification,Lennie,She justifies talking with Lennie by pointing out the noise from the men outside.,augmented,other,justification
"Oh sure, Curley’s a real charmer. Ain’t got time for nothin’ but showin’ off.",cynical,mockery,Crooks and Candy,"She mocks her husband's tough-guy persona in front of the others, showing resentment.",augmented,cynical,mockery
He’s all bark and no brains. Thinks he’s some prize fighter or somethin’.,sarcastic,complaint,Candy,"She ridicules Curley’s obsession with fighting, venting her bitterness at her marriage.",augmented,sarcastic,complaint
"Spendin’ all his time talkin’ ‘bout punches while I rot in that shack. Real sweet, huh?",resentful,passive-aggressive rant,Crooks,She bitterly recounts how Curley ignores her while bragging about violence.,augmented,resentful,other
Oh no… he ain’t movin’!,alarmed,exclamation,Lennie,She reacts in horror upon realizing the puppy is dead.,augmented,other,exclamation
He’s gone? Just like that?,startled,realization,Lennie,She processes the sudden death of the puppy with disbelief.,augmented,other,other
"Aw, poor thing. You didn’t mean to, huh?",sympathetic,emotional reaction,Lennie,She feels pity for Lennie after understanding what happened to the puppy.,augmented,other,other
Curley got what’s been comin’. You did more than I ever could.,grudging admiration,confession,Lennie,She admits she’s secretly glad Lennie hurt Curley — something she could never do herself.,augmented,other,confession
You know what? I ain’t cried over Curley once. That oughta tell you somethin’.,truthful,emotional disclosure,Lennie,"She admits her lack of love for Curley, revealing hidden resentment.",augmented,other,other
"He walks like he owns the world, but he can’t even treat his wife decent.",disappointed,critique,Lennie,"She criticizes Curley’s arrogance and neglect, showing a rare moment of emotional honesty.",augmented,other,other
That George guy — he always bossin’ you around?,probing,question,Lennie,She questions George’s authority in Lennie’s life out of curiosity and suspicion.,augmented,other,question
Ain’t George the one always tellin’ you what to do?,inquisitive,challenge,Lennie,"She probes George’s role in Lennie’s decisions, fishing for insight.",augmented,other,challenge
"That your friend, George? He always close by, huh?",light interest,casual question,Lennie,She asks about George’s relationship with Lennie in a more passive way.,augmented,other,other
"Go ahead, run your mouth. Like anybody’s gonna take your side.",cynical,challenge,Candy,"She taunts Candy, doubting that anyone would listen to an old, disabled man like him.",augmented,cynical,challenge
Ain’t a soul on this ranch would give a damn what you say.,scornful,shut-down,Candy,"She completely dismisses Candy’s credibility, reinforcing her power in the moment.",augmented,other,other
Try tellin’. They’d laugh you off the place.,harsh,warning,Candy,"She warns Candy that if he tries to expose her, no one would believe him anyway.",augmented,other,warning
"Look at this — a dumdum, a cripple, and a colored man. What a crew.",sarcastic,insult,"Lennie, Candy, Crooks","She insults all three men in the room, asserting dominance through cruelty.",augmented,sarcastic,other
"Guess they don’t think much of leavin’ you three behind, huh?",taunting,provocation,"Lennie, Candy, Crooks",She mocks their social standing by pointing out they were left alone together.,augmented,other,other
"Barn full o’ nobodies, huh? Ain’t that just perfect.",condescending,observation,"Lennie, Candy, Crooks",She cynically notes that only the outcasts are stuck in the barn together.,augmented,other,observation
"I coulda been wearin’ silks, sittin’ up in them movie palaces with champagne. Not in this dump.",regretful,wishful thinking,Lennie,She imagines a glamorous life she believes she missed out on.,augmented,regretful,other
"They said I had the look for it — the smile, the eyes. Said I was born to be up on a screen.",nostalgic,personal reflection,Lennie,She recalls compliments that fed her belief she was meant to be a movie star.,augmented,other,other
"There coulda been lights, dresses, my name on the posters. Not this place. Not Curley.",melancholy,lament,Lennie,She mourns what her life became compared to the dream she once had.,augmented,other,other
He ain’t what I thought. He treats me like I’m dirt.,disappointed,truth-telling,Lennie,She expresses her disappointment in Curley’s character and their marriage.,augmented,other,other
"Wish I hadn’t married him. I thought I was gettin’ outta somethin’, not into more of it.",regretful,admission,Lennie,"She regrets marrying Curley, realizing it didn't bring the freedom she expected.",augmented,regretful,other
I didn’t wanna be somebody’s wife in a place like this. I wanted more.,longing,confession,Lennie,She opens up about her desire for something bigger than the life she ended up with.,augmented,other,confession
"Whatcha hidin’ under that straw, huh?",lightly playful,probing question,Lennie,"She asks Lennie about what he’s trying to cover up, in a teasing tone.",augmented,other,other
Ain’t like you to be crouched down like that — somethin’ wrong?,concerned,observation,Lennie,"She notices Lennie’s odd behavior and checks in, not yet realizing what’s wrong.",augmented,other,observation
"You actin’ strange, big boy. What’s under there?",suspicious,inquiry,Lennie,She senses something is off and questions him more seriously.,augmented,suspicious,inquiry
"Ain’t seen Curley, have ya? I figured he’d be struttin’ around here.",flirty,question,George and Lennie,She opens with a playful excuse to enter the bunkhouse while pretending to search for her husband.,augmented,flirty,question
I thought Curley might be in here — or maybe I just needed some air.,suggestive,statement,George and Lennie,"She lightly hints at her real interest being attention, not her husband.",augmented,other,statement
"Curley’s supposed to be around, but I guess I found somethin’ better.",teasing,flirtatious observation,George and Lennie,"She flirts with the new men, using Curley as a weak pretext for showing up.",augmented,teasing,other
"All right, Tin Man. I’ll leave you to your bolts and gears.",mocking,dismissive sarcasm,Lennie,She sarcastically plays into Lennie’s silence by calling him a mechanical object.,augmented,mocking,other
"Guess you ain't much for words, huh? Must be stuck in 'off' mode.",snide,tease,Lennie,"She jabs at Lennie’s quietness, making fun of him like he’s a broken machine.",augmented,other,other
"Well, you keep beepin’ when you’re ready. I like machines that talk back.",playful sarcasm,provocation,Lennie,"She provokes Lennie while pretending to enjoy his silent, machine-like demeanor.",augmented,other,other
Stop that now! You’re pullin’ like I’m a rag doll.,frustrated,command,Lennie,Her irritation grows as Lennie refuses to let go of her hair.,augmented,frustrated,other
Let go already! You’re messin’ it all up!,alarmed,shouted demand,Lennie,"She shouts as panic sets in, trying to get Lennie to release her.",augmented,other,other
Careful! You’re yankin’ too hard — I said stop it!,panicked,escalation,Lennie,She pleads as Lennie begins pulling harder than she expected.,augmented,other,other
You really think I’d believe that crap? Who you think you’re foolin’?,accusatory,challenge,"Candy, Crooks, Lennie","She lashes out at their lie about Curley’s hand, calling out the poor cover story.",augmented,accusatory,challenge
Oh please. Curley ain’t bust nothin’ on no machine. One of you boys roughed him up.,cutting,direct confrontation,group,She directly challenges the excuse given and demands the truth.,augmented,other,other
Don’t feed me that ‘machine’ garbage. Curley can’t shut up about his fists — now suddenly he loses one?,skeptical,exposing lie,"Candy, Crooks, Lennie",She points out how ridiculous the machine story sounds given Curley’s personality.,augmented,other,other
Men like you always blow your money the minute you get it. Seen it too many times.,disdainful,judgment,"Candy, Lennie, Crooks",She criticizes their plans by claiming men like them always waste their earnings.,augmented,other,other
"You dream real big, then spend it all on drink before you make it past payday.",cold,criticism,"Candy, Lennie",She undermines their dreams with a jab at their spending habits.,augmented,cold,other
Talkin’ ‘bout land like it’s somethin’ you can buy with pocket change and a wish.,sarcastic,mockery,"Candy, Crooks, Lennie","She ridicules their idealistic talk, doubting they’ll ever own anything.",augmented,sarcastic,mockery
Ain’t you got anythin’ else to talk about besides them rabbits?,annoyed,frustration,Lennie,"She gets fed up with Lennie’s constant rabbit talk, especially while she's trying to have a serious moment.",augmented,other,other
All you ever go on about is them damn rabbits.,irritated,complaint,Lennie,She expresses frustration when Lennie keeps repeating the same dream over and over.,augmented,other,complaint
Rabbits again? Ain’t you tired of sayin’ the same thing?,impatient,criticism,Lennie,She snaps after Lennie brings up the rabbits again instead of responding to her.,augmented,other,other
"You’re the new ones they brought in, right?",curious,inquiry,George and Lennie,She attempts to initiate conversation by identifying them as the newcomers on the ranch.,augmented,curious,inquiry
Ain’t you the two guys just hired by the boss?,light curiosity,question,George and Lennie,"She engages them casually, using their newness as a reason to talk.",augmented,other,question
"You boys just got here, didn’t ya?",playful curiosity,small talk,George and Lennie,She tries to make small talk with George and Lennie under the guise of polite interest.,augmented,other,other
There was this one actor said I had the look for the stage. Told me he’d take me on the road.,wistful,memory,Lennie,She recounts a past moment of hope when someone promised her a better future.,augmented,wistful,other
A man in the show said I belonged in the spotlight — but mama didn’t let me go.,soft and bitter,storytelling,Lennie,She remembers how her mother held her back from an opportunity in showbiz.,augmented,other,storytelling
"Back when I was a girl, I met someone in the theatre. Said I had a gift. But I never got the chance.",reflective,personal history,Lennie,She opens up to Lennie about a dream deferred — a chance she never took.,augmented,other,other
Don’t cry over that pup — you can find another one easy enough.,gentle,comforting remark,Lennie,She reassures Lennie that the puppy isn’t worth being sad over.,augmented,gentle,other
"It was just a mutt, Lennie. There’s always more out there.",dismissive kindness,reassurance,Lennie,She tries to downplay the puppy’s death and keep Lennie calm.,augmented,other,reassurance
Ain’t no use cryin’ over a pup. You can get a new one from the barn anytime.,practical,soothing,Lennie,"She offers practical comfort, hoping to help Lennie move on.",augmented,other,other
Seen Curley anywhere? He ain’t in the bunkhouse.,sharp,question,"Lennie, Candy, and Crooks",She bursts into their quiet space demanding to know her husband's whereabouts.,augmented,other,question
Where’s Curley? He’s always wanderin’ off somewhere.,blunt,interrogation,"Lennie, Candy, Crooks",She presses the group about Curley with clear irritation.,augmented,other,other
One of you seen my husband? He was supposed to be around here.,authoritative,demand,"Lennie, Candy, Crooks","She enters assertively, cutting into their conversation while looking for Curley.",augmented,other,other
Curley ain’t doin’ nothin’ with that busted hand. You could crush the other if he tries you again.,bold,reassuring observation,Lennie,She confidently reminds Lennie that he’s strong enough to handle Curley again if needed.,augmented,other,other
"Ain’t no way Curley got that from no machine. You did that, and I know it.",teasing and blunt,truth-statement,Lennie,"She calls out the cover story, teasing Lennie but also admiring his strength.",augmented,other,other
"That story ‘bout the machine? Nah, I seen Curley’s face. You roughed him up good.",smirking,accusation with approval,Lennie,She playfully calls out the lie and shows she's not fooled by the excuse.,augmented,other,other
"You. Yeah, I’m talkin’ to you.",pressing,targeted call-out,Lennie,"She singles Lennie out directly, not letting him escape the moment.",augmented,other,other
Don’t go lookin’ away — I saw how you looked when I brought up Curley.,aggressive,follow-up accusation,Lennie,"She corners Lennie emotionally, pressing for a reaction.",augmented,other,other
"Yeah, you with the big fists. You know what happened — I can see it.",confrontational,demand,Lennie,"She calls Lennie out with growing tension, implying she knows the truth.",augmented,other,other
Men get all brave till there’s someone watchin’. Then they go quiet.,critical,social observation,general,She critiques how men behave differently in groups versus one-on-one.,augmented,other,other
One man alone’ll talk your ear off. Two of ‘em? Won’t say a word.,wry,commentary,general male behavior,She points out the shift in how men act when they're around others.,augmented,other,commentary
Get a man on his own and he’s all sweet. Toss another in and suddenly he’s tough.,cynical,critique,group behavior,She mocks how men's attitudes shift once they're not alone anymore.,augmented,cynical,other
Ain’t like I get anyone to talk to. You think I like wanderin’ just to be seen?,pleading,defensive justification,Lennie,"She tries to explain that her presence is driven by loneliness, not mischief.",augmented,other,other
Nobody ever talks to me. They just glare and act like I ain’t nothin’.,vulnerable,emotional release,Lennie,"She lets her guard down, expressing how invisible she feels around the men.",augmented,vulnerable,other
Is it so wrong I wanna talk for once? I get tired of bein’ locked away.,yearning,emotional appeal,Lennie,"She pleads for basic conversation, sharing how isolated her life has become.",augmented,other,emotional appeal
"You got some strange ideas, you know that?",judgmental,dismissive observation,Lennie,She looks at Lennie with a mix of confusion and disbelief after his odd comments.,augmented,other,other
"That ain’t normal talk, even for a big guy like you.",critical,commentary,Lennie,She comments harshly on Lennie's obsession with rabbits.,augmented,other,commentary
You really think rabbits are gonna fix all your troubles? That’s nuts.,mocking,dismissal,Lennie,"She scoffs at Lennie's obsession, clearly not taking him seriously anymore.",augmented,mocking,dismissal
Sometimes Curley’s hangin’ ‘round here.,casual,justification,George and Lennie,She casually explains her appearance in the bunkhouse by mentioning Curley might be nearby.,augmented,casual,justification
Curley pops in now and then. Figured he might be here.,unconcerned,explanation,George and Lennie,"She offers a relaxed reason for being there, acting like it’s totally normal.",augmented,other,explanation
"He hangs out in here sometimes. I was just lookin’, that’s all.",nonchalant,excuse,George and Lennie,She pretends her search for Curley is harmless and unimportant.,augmented,other,excuse
George got you on a leash or somethin’?,mocking,question,Lennie,She mocks how much Lennie listens to George and how little freedom he seems to have.,augmented,mocking,question
Ain’t you allowed to speak without your bossman’s say-so?,teasing,challenge,Lennie,She playfully challenges George’s control over Lennie.,augmented,teasing,challenge
George tell you when to breathe too?,sarcastic,provocative question,Lennie,"She needles Lennie, joking that George controls every aspect of his life.",augmented,sarcastic,other
Coulda been wearin’ silk and talkin’ on the radio like them stars.,dreamy,imagination,Lennie,She reflects wistfully on a glamorous life she believes she could have had.,augmented,other,other
"I shoulda been signin’ autographs, not standin’ in a dusty barn.",regretful,fantasy complaint,Lennie,She imagines a famous life as an actress instead of being stuck on the ranch.,augmented,regretful,other
They said I was born for the screen — said I had that movie look.,hopeful,wishful memory,Lennie,"She recalls being told she could make it in Hollywood, still clinging to that dream.",augmented,hopeful,other
"Let go! Please, you’re hurtin’ me!",terrified,desperate plea,Lennie,She cries out in panic as Lennie refuses to release her.,augmented,other,other
Stop it! You’re pullin’ too hard!,fearful,urgent command,Lennie,She desperately tries to make him stop as things spiral out of control.,augmented,other,other
Don’t! Please don’t — let me go!,panicked,pleading shout,Lennie,"She begs him to let go, her voice full of rising dread.",augmented,other,other
Maybe I’ll go grab a couple rabbits too — just to keep up.,playful,light sarcasm,Lennie,She flirts by joining in on Lennie’s obsession with rabbits.,augmented,playful,other
Sounds like fun. Think there’s room for one more rabbit fan?,teasing,suggestive question,Lennie,She playfully suggests she might be into the same dream as Lennie.,augmented,teasing,other
All that talk ‘bout rabbits — maybe I oughta get me a hutch too.,light-hearted,flirty suggestion,Lennie,"She jokes about getting her own rabbits, mimicking his obsession for fun.",augmented,other,other
Why you always goin’ on about them rabbits?,curious,casual question,Lennie,"She tries to figure out why Lennie is so fixated on rabbits, genuinely puzzled.",augmented,curious,other
"Rabbits, rabbits, rabbits — what’s so special ‘bout ‘em to you?",mildly confused,follow-up question,Lennie,"She probes deeper into his obsession, trying to understand what they represent to him.",augmented,other,other
"Is it just ‘cause they’re soft, or you got some big dream ‘bout ‘em?",curious but slightly amused,speculative question,Lennie,She half-jokes as she asks about the meaning behind Lennie’s love for rabbits.,augmented,other,other
"If you’re even a little unsure, play it safe — that’s what smart folks do.",cunning,coercive suggestion,Candy,"She wraps her manipulation in the voice of reason, pushing Candy to stay quiet.",augmented,other,other
Ain’t worth the risk if you can’t say for sure. Could get you in a bad spot.,calculating,veiled threat,Candy,She pressures Candy with a 'helpful' tone that masks her real intent — intimidation.,augmented,other,other
Wouldn’t be wise to speak up if you don’t know what you’re sayin’. Might cost you.,strategic,disguised warning,Candy,"She acts like she’s giving protective advice, but it’s a thinly veiled threat to silence him.",augmented,other,other
"Sure, Curley’s my man — when he ain’t talkin’ tough and swingin’ at shadows.",mocking,sarcastic rant,"Candy, Crooks",She ridicules Curley’s constant bragging and violent temper in front of the other men.,augmented,mocking,other
All he ever does is punch air and act like he’s king of the damn ranch.,bitter,complaint,"Candy, Crooks",She vents about being stuck with Curley and his pathetic power games.,augmented,bitter,complaint
Think I married a prizefighter? He couldn’t land a swing if you stood still for it.,scathing,mockery,"Candy, Crooks",She tears into Curley’s delusions of strength with biting sarcasm.,augmented,other,mockery
He said I had the face for the screen — said they’d eat me up in Hollywood.,hopeful,reflective memory,Lennie,"She retells the moment someone promised her a movie career, full of lingering belief.",augmented,hopeful,other
We danced a while and he told me I was perfect for the pictures. Never did get that letter.,regretful hope,recollection,Lennie,"She shares another story of being promised fame, still holding onto the what-if.",augmented,other,other
Said he’d make me a star. Even gave me his address in Hollywood — but I waited and nothin’ came.,wistful,dream retelling,Lennie,She remembers the broken promise of a man who said she could make it big.,augmented,wistful,other
"Don’t forget your place, boy. I got the power here, not you.",threatening,warning,Crooks,"She asserts racial and social dominance, making clear that she could ruin him.",augmented,other,warning
